# FEAT_ID     Feature Postfix Expression (RPN)
0             182|88|add
1             38
2             107|38|add
3             182|19|add
4             49|19|add
5             184|38|add
6             182|38|add
7             114|88|add
8             120|19|add
9             138|19|add
10            114|19|add
11            138|88|add
12            88|49|add
13            113|cb
14            159|19|add
15            184|19|add
16            120|88|add
17            184|88|add
18            107|cb
19            159|88|add
#-----------------------------------------------------------------------
20            45|134|div
21            134|12|mult
22            19|46|div
23            88|33|div
24            88|98|div
25            98|88|mult
26            134|19|mult
27            19|134|div
28            45|98|div
29            98|45|mult
30            12|134|div
31            19|33|div
32            19|98|div
33            106|98|mult
34            134|106|mult
35            134|84|mult
36            98|84|mult
37            98|12|mult
38            12|98|div
39            98|19|mult
#-----------------------------------------------------------------------
40            99|131|div
41            7|164|div
42            80|131|div
43            133|131|div
44            149|131|div
45            35|3|mult
46            60|131|div
47            136|47|div
48            143|60|mult
49            135|131|div
50            51|131|div
51            91|131|div
52            4|83|div
53            60|35|mult
54            3|131|div
55            67|60|mult
56            148|145|div
57            23|131|div
58            99|186|div
59            7|131|div
#-----------------------------------------------------------------------
60            27|131|div
61            93|131|div
62            101|48|div
63            100|131|div
64            140|164|div
65            171|48|div
66            132|131|div
67            138|164|div
68            164|inv
69            125|164|div
70            171|38|div
71            171|167|div
72            114|164|div
73            101|66|div
74            117|48|div
75            26|164|div
76            117|66|div
77            5|164|div
78            87|164|div
79            112|164|div
#-----------------------------------------------------------------------
80            45|131|div
81            145|131|div
82            164|83|div
83            21|131|div
84            12|131|div
85            61|131|div
86            154|131|div
87            40|131|div
88            141|131|div
89            34|131|div
90            187|131|div
91            13|131|div
92            156|131|div
93            144|131|div
94            2|131|div
95            116|131|div
96            37|131|div
97            62|131|div
98            175|131|div
99            172|131|div
#-----------------------------------------------------------------------
