# FEAT_ID     Feature Postfix Expression (RPN)
0             89|49|sub
1             175|45|add
2             136|52|sub
3             105|23|add
4             105|52|add
5             105|49|add
6             142|49|add
7             105|5|add
8             175|136|sub
9             136|72|div
10            105|102|add
11            101|45|sub
12            142|45|add
13            101|49|sub
14            49|30|add
15            45|30|add
16            105|100|add
17            175|105|add
18            105
19            105|30|add
#-----------------------------------------------------------------------
20            0|73|div
21            146|73|div
22            29|81|div
23            91|59|div
24            16|73|div
25            115|81|div
26            156|73|div
27            148|81|div
28            114|81|div
29            170|81|div
30            91|81|div
31            64|81|div
32            11|81|div
33            4|81|div
34            144|81|div
35            58|81|div
36            130|81|div
37            163|81|div
38            131|81|div
39            125|81|div
#-----------------------------------------------------------------------
40            46|187|div
41            102|84|div
42            160|102|mult
43            50|187|div
44            165|160|mult
45            160|98|mult
46            160|44|mult
47            123|187|div
48            164|160|mult
49            170|151|mult
50            145|187|div
51            66|187|div
52            170|187|div
53            18|187|div
54            160|75|mult
55            2|187|div
56            10|187|div
57            47|75|div
58            178|132|div
59            152|132|div
#-----------------------------------------------------------------------
60            165|105|sub
61            187|130|sub
62            187|131|sub
63            187|58|sub
64            187|144|sub
65            77|64|sub
66            105|29|sub
67            70|138|div
68            13|4|sub
69            163|13|sub
70            13|11|sub
71            187|4|sub
72            187|11|sub
73            187|163|sub
74            64|13|sub
75            162|187|div
76            187|64|sub
77            131|144|div
78            144|131|div
79            153|187|div
#-----------------------------------------------------------------------
80            17|75|div
81            115|23|mult
82            136|61|sub
83            127|23|mult
84            182|3|sub
85            115|39|sub
86            182|136|add
87            136|83|sub
88            142|39|sub
89            159|3|sub
90            23|17|mult
91            118|3|sub
92            39|37|add
93            159|136|add
94            136|53|sub
95            85|23|mult
96            23|143|div
97            80|39|add
98            160|75|div
99            23|72|div
#-----------------------------------------------------------------------
